#  /Conroy%25202006
# Projected two point correlation function
# Graph from Conroy 2006, page 5
# fig 4. Dashed Lines
# V_{max}^{now}
# number density n = 1.5x10-2 h3 Mpc-3
# r_p(h-1 Mpc), \omega_p ( r_p )
0.1000	199.9
0.1000	199.9
0.1113	181.4
0.1267	156.3
0.1411	140.3
0.1632	119.7
0.1857	104.7
0.2046	96.02
0.2255	87.55
0.2445	79.01
0.2752	73.92
0.3099	68.09
0.3885	59.89
0.4742	52.95
0.5665	47.54
0.6767	42.69
0.8040	38.13
0.9604	34.24
1.147	30.27
1.341	26.62
1.602	23.54
2.008	20.28
2.478	17.66
2.960	15.45
3.368	13.87
3.959	12.27
4.781	10.30
5.649	8.791
6.534	7.733
7.721	6.630
8.600	5.952
9.946	5.317
10.21	5.129

