# Graph from Conroy 2006, page 5
# Projected two point correlation function (\omega_p (r_p)) vs (r_p (h-1 Mpc))
0.09913	202.9
0.1104	180.3
0.1297	153.6
0.1484	133.0
0.1764	110.5
0.2084	94.70
0.2398	83.26
0.2530	78.67
0.2656	75.88
0.3138	69.16
0.3421	65.02
0.3998	58.96
0.5177	49.74
0.6318	44.41
0.7963	38.64
0.9665	33.80
1.099	31.28
1.313	27.22
1.560	24.18
1.824	21.70
2.262	18.78
2.702	16.51
3.442	13.65
3.896	12.31
4.156	11.81
4.679	10.28
5.529	8.902
6.464	7.786
7.974	6.435
8.978	5.716
9.786	5.237

